                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.68286,                 1.1955,                0.90318,                 1.0894,                0.81009,                 0.6715,                0.77555,                 0.5682,                0.79982,                0.66456,                0.75537,                0.58303,                 1.0157,                 1.7714,                 1.3383,                 1.4537,              0.0006733,              0.0006733,              0.0006733
                     35,                0.67668,                 1.1053,                0.87713,                 1.0742,                0.74527,                0.68958,                0.77248,                 0.5427,                0.72049,                0.67937,                 0.7432,                0.57574,                  1.036,                 1.5612,                 1.3554,                 1.4565,              0.0006634,              0.0006634,              0.0006634
                     36,                0.67675,                  1.122,                0.87205,                 1.0709,                0.82347,                0.69977,                 0.7769,                 0.5798,                 0.8278,                0.70003,                0.77039,                0.57518,                 1.0249,                 1.7059,                  1.269,                  1.461,              0.0006535,              0.0006535,              0.0006535
                     37,                0.67335,                 1.1479,                0.87491,                 1.0777,                0.73036,                0.71277,                0.77574,                0.57381,                0.72183,                0.69302,                0.75322,                0.58689,                 1.0079,                 1.6359,                 1.3196,                 1.4478,              0.0006436,              0.0006436,              0.0006436
                     38,                0.68849,                 1.1277,                0.88347,                 1.0842,                  0.824,                0.73326,                0.81426,                0.62392,                0.83223,                0.71497,                0.80295,                0.63361,                0.92703,                 1.5757,                 1.1628,                 1.3885,              0.0006337,              0.0006337,              0.0006337
                     39,                0.65636,                 1.0791,                0.85337,                 1.0529,                0.81336,                0.76854,                0.82085,                0.63621,                0.77913,                0.77006,                0.80681,                0.65353,                0.88983,                 1.3938,                 1.1195,                 1.3346,              0.0006238,              0.0006238,              0.0006238
                     40,                0.64889,                 1.1371,                0.86129,                 1.0591,                0.72895,                0.72951,                0.78461,                0.59648,                0.71389,                0.70137,                0.75777,                0.60324,                0.91443,                 1.5207,                 1.2931,                 1.3544,              0.0006139,              0.0006139,              0.0006139
                     41,                0.63806,                 1.0762,                0.84932,                 1.0593,                0.88218,                0.80395,                0.85311,                0.64369,                0.86534,                0.79165,                0.82449,                 0.6477,                0.94582,                 1.5971,                 1.1257,                 1.3946,               0.000604,               0.000604,               0.000604
                     42,                0.62194,                 1.0223,                0.77542,                 1.0439,                 0.7914,                0.69985,                 0.7965,                0.60852,                0.76549,                0.69266,                0.75893,                0.59887,                0.96114,                 1.7446,                 1.2535,                  1.392,              0.0005941,              0.0005941,              0.0005941
                     43,                0.63035,                0.98767,                  0.787,                 1.0477,                0.79804,                0.70189,                0.80425,                 0.6058,                0.79461,                0.70029,                0.80451,                0.62634,                 1.0099,                 1.5632,                 1.2221,                 1.4401,              0.0005842,              0.0005842,              0.0005842
                     44,                0.60012,                 1.0011,                0.78496,                  1.038,                0.87133,                 0.7712,                0.83796,                0.64334,                0.86706,                0.76774,                0.82996,                0.65182,                0.93126,                 1.5146,                 1.1302,                 1.3809,              0.0005743,              0.0005743,              0.0005743
