(선)대게,러시아,중,kg,1.6,"10,000","10,000","10,000",2021-12-01
(활)메지,거진,1미,kg,450,"3,000",800,"1,600",2021-12-01
(활)바다가재,캐나다,중,kg,120.4,"30,000","23,000","29,400",2021-12-01
(활)방어,제주도,중,kg,131.3,"27,000","9,000","15,600",2021-12-01
(선)백조기,통영,중,S/P,8,"211,500","92,000","146,900",2021-12-01
(선)삼치,축산,대,S/P,1,"120,000","120,000","120,000",2021-12-01
(활)수꽃게,격포,중,kg,10,"10,000","10,000","10,000",2021-12-01
(선)아귀,나로도,6미,S/P,1,"13,000","13,000","13,000",2021-12-01
(선)아귀,나로도,3미,S/P,14,"18,000","18,000","18,000",2021-12-01
(선)연자돔,제주도,10미,S/P,1,"108,000","108,000","108,000",2021-12-01
(선)옥돔,제주도,15미,S/P,13,"50,000","50,000","50,000",2021-12-01
(선)옥돔,제주도,11미,S/P,10,"50,000","50,000","50,000",2021-12-01
(선)우럭,통영,중,kg,111.8,"20,500","10,000","18,300",2021-12-01
(선)은갈치,제주도,대,S/P,1,"12,000","12,000","12,000",2021-12-01
(선)은갈치,제주도,10미,S/P,188,"125,000","35,000","63,600",2021-12-01
(활)전복,완도,16/17미,kg,33.5,"22,500","22,500","22,500",2021-12-01
(활)전복,완도,25/26미,kg,100,"19,000","19,000","19,000",2021-12-01
(활)전복,완도,5/6미,kg,5.7,"55,000","55,000","55,000",2021-12-01
(활)토바지락,중국,중,box,25,"5,200","5,000","5,200",2021-12-01
(선)가오리,죽변,대,S/P,25.8,"8,000","3,000","6,100",2021-12-01
(선)가자미,보령,중,S/P,6,"50,000","50,000","50,000",2021-12-01
(선)갯장어,제주도,대,S/P,66,"2,500","2,500","2,500",2021-12-01
(선)고등어,제주도,12미,S/P,11,"12,000","12,000","12,000",2021-12-01
(활)넙치,통영,중,kg,15,"27,000","12,000","25,200",2021-12-01
(냉)대구,러시아,L,PAN(펜),50,"58,800","58,800","58,800",2021-12-01
(활)물바지락,여수,대,box,71,"90,100","30,000","47,000",2021-12-01
(활)방게,태안,중,kg,185,"5,000","5,000","5,000",2021-12-01
(활)백합,군산,중,그물망,2,"183,300","183,300","183,300",2021-12-01
(활)새꼬막,벌교,중,그물망,3,"100,000","98,800","99,200",2021-12-01
(활)수꽃게,격포,대,kg,10,"14,000","14,000","14,000",2021-12-01
(활)수꽃게,태안,대,kg,24,"16,000","16,000","16,000",2021-12-01
(활)암꽃게,태안,소소,kg,60,"13,000","13,000","13,000",2021-12-01
(선)은갈치,제주도,9미,S/P,10,"125,000","125,000","125,000",2021-12-01
(선)은갈치,제주도,5미,S/P,7,"180,000","155,000","162,100",2021-12-01
(활)전복,완도,4/5미,kg,8,"60,000","60,000","60,000",2021-12-01
(활)전복,완도,11/12미,kg,58.2,"27,000","26,000","26,200",2021-12-01
(활)참숭어,군산,중,kg,510.3,"9,000","4,000","6,900",2021-12-01
(선)참조기,제주도,30미,S/P,6,"55,000","55,000","55,000",2021-12-01
(활)해삼,마산,소,box,11,"15,000","15,000","15,000",2021-12-01
(선)가자미,죽변,30미,S/P,5,"28,000","28,000","28,000",2021-12-01
(선)가자미,죽변,25미,S/P,19,"82,000","28,000","53,100",2021-12-01
(활)감숭어,부산(기장),중,kg,"2,185.7","6,000",200,"2,400",2021-12-01
(선)감숭어,거제도,중,kg,18.9,500,500,500,2021-12-01
(선)낙지,중국,10미,box,292,"20,000","17,000","19,000",2021-12-01
(활)물바지락,통영,대,box,11,"85,500","85,500","85,500",2021-12-01
(선)방어,제주도,중,S/P,6,"16,000","12,000","14,700",2021-12-01
(선)백조기,나로도,15미,S/P,1,"12,000","12,000","12,000",2021-12-01
(선)복어,흑산도,중,S/P,53.3,"17,000","13,000","14,400",2021-12-01
(활)봉바지락,태안,중,box,9,"15,100","15,100","15,100",2021-12-01
(활)부시리,속초,중,kg,677.7,"10,000","2,500","3,900",2021-12-01
(선)삼치,제주도,6미,S/P,4,"33,000","33,000","33,000",2021-12-01
(선)삼치,방어진,중,S/P,8,"40,000","40,000","40,000",2021-12-01
(선)전갱이,일본,중,kg,2.2,"2,000","2,000","2,000",2021-12-01
(활)피꼬막(피조개),마산,중,그물망,38,"30,500","25,500","27,600",2021-12-01
