(선)삼치,부산(기장),8미,S/P,209,"33,000","27,000","30,900",2012-04-03,,,
(선)아귀,제주도,소,S/P,8,"40,000","32,000","34,900",2012-04-03,,,
(선)아귀,중국,5미,S/P,1,"30,000","30,000","30,000",2012-04-03,,,
(냉)암꽃게,서산,4단,CT/(BT),100,"50,000","50,000","50,000",2012-04-03,,,
(냉)오징어,부산(기장),20미,S/P,100,"29,000","29,000","29,000",2012-04-03,,,
(냉건)오징어채,기타(원양),중,CT/(BT),2,"30,000","30,000","30,000",2012-04-03,,,
(냉)은갈치,제주도,중,S/P,10,"150,000","150,000","150,000",2012-04-03,,,
(활)전복,완도,10미,kg,66.5,"46,000","42,000","44,600",2012-04-03,,,
(활)전복,고흥,7/8미,kg,11.6,"71,000","71,000","71,000",2012-04-03,,,
(선)쭈꾸미,군산,15코,box,1,"81,000","81,000","81,000",2012-04-03,,,
(선)쭈꾸미,군산,12코,box,1,"53,000","53,000","53,000",2012-04-03,,,
(선)참조기,제주도,중,S/P,31,"200,000","70,000","127,900",2012-04-03,,,
(선)깐바지락,여수,소,box,10,"22,000","22,000","22,000",2012-04-03,,,
(선)깐바지락,삼천포,소,box,332,"14,500","10,000","12,500",2012-04-03,,,
(선)낙지,중국,21미,box,25,"45,000","43,000","44,800",2012-04-03,,,
(선)대구,중국,6미,S/P,227,"40,000","30,000","34,400",2012-04-03,,,
(선)문어,포항,대,S/P,40,"200,000","9,000","19,500",2012-04-03,,,
(활)물바지락,삼천포,대,box,10,"28,000","28,000","28,000",2012-04-03,,,
(선)미더덕,마산,소,box,379,"11,500","6,000","9,500",2012-04-03,,,
(활)바위굴,마산,대,box,100,"16,000","16,000","16,000",2012-04-03,,,
(선)병어,통영,42미,S/P,1,"300,000","300,000","300,000",2012-04-03,,,
(선)병어,삼천포,4단,S/P,1,"330,000","330,000","330,000",2012-04-03,,,
(활)붕장어,통영,중,kg,90,"10,000","10,000","10,000",2012-04-03,,,
(선)아귀,중국,1미,S/P,17,"40,000","25,000","28,200",2012-04-03,,,
(선)암꽃게,태안,중,S/P,1,"95,000","95,000","95,000",2012-04-03,,,
(선)잡어,통영,중,S/P,30,"10,000","2,000","3,900",2012-04-03,,,
(선)잡어,삼천포,대,S/P,1,"48,800","48,800","48,800",2012-04-03,,,
(냉)조기,부산(기장),중,c/s(상자),100,"100,000","100,000","100,000",2012-04-03,,,
(활)진주담치,여수,대,그물망,557,"15,000","5,000","12,200",2012-04-03,,,
(활)진주담치,마산,대,그물망,143,"16,000","3,000","13,300",2012-04-03,,,
(선)쭈꾸미,장항,17코,box,1,"17,000","17,000","17,000",2012-04-03,,,
(냉)고등어,부산(기장),68미,CT/(BT),30,"37,000","37,000","37,000",2012-04-03,,,
(선)깐바지락,중국,소,box,4,"7,000","7,000","7,000",2012-04-03,,,
(활)도다리,안흥,중,kg,130.8,"18,000","5,000","9,400",2012-04-03,,,
(선)도루묵,속초,중,S/P,20,"5,000","5,000","5,000",2012-04-03,,,
(선)만디,여수,대,box,1,"30,000","30,000","30,000",2012-04-03,,,
(선)만디,마산,2봉,box,40,"4,600","4,400","4,500",2012-04-03,,,
(활)물바지락,남해,2봉,box,25,"28,500","28,500","28,500",2012-04-03,,,
(선)민어,제주도,중,S/P,6,"60,000","50,000","58,300",2012-04-03,,,
(선)병어,부산(기장),5미,S/P,21,"30,000","30,000","30,000",2012-04-03,,,
(선)삼치,삼천포,4미,S/P,1,"80,000","80,000","80,000",2012-04-03,,,
(선)새치,임원,중,S/P,93,"13,000","13,000","13,000",2012-04-03,,,
(선)연어,노르웨이,중,S/P,819.6,"11,000","10,000","10,500",2012-04-03,,,
(냉)오징어,속초,20미,S/P,200,"34,500","25,000","34,000",2012-04-03,,,
(활)전복,완도,9미,kg,68,"56,000","44,000","50,600",2012-04-03,,,
(활)전복,고흥,9/10미,kg,12.3,"46,000","46,000","46,000",2012-04-03,,,
(활)전복,완도,13미,kg,33.5,"35,000","35,000","35,000",2012-04-03,,,
(냉)쭈꾸미,중국,80/100,CT/(BT),20,"18,000","18,000","18,000",2012-04-03,,,
(선)참가자미,부산(기장),중,S/P,18,"70,000","70,000","70,000",2012-04-03,,,
(활)피꼬막(피조개),여수,중,그물망,20,"28,000","28,000","28,000",2012-04-03,,,
(선)홍다리얼룩새우,태국,10미,kg,10,"24,000","24,000","24,000",2012-04-03,,,
(선)가자미,제주도,중,S/P,66,"70,000","37,000","57,500",2012-04-03,,,
(선)금태,부산(기장),40미,S/P,1,"25,000","25,000","25,000",2012-04-03,,,
(선)깐굴,고흥,소,box,24,"15,000","15,000","15,000",2012-04-03,,,
(냉)꽁치,대만,특대,CT/(BT),220,"26,000","22,000","22,400",2012-04-03,,,
(냉)낙지,중국,200/300,CT/(BT),50,"27,000","27,000","27,000",2012-04-03,,,
(선)대구,속초,대,S/P,33.8,"200,000","10,000","30,500",2012-04-03,,,
(선)명태,러시아,2S,S/P,164,"35,000","35,000","35,000",2012-04-03,,,
(선)민대구,제주도,10미,S/P,2,"100,000","95,000","97,500",2012-04-03,,,
(선)병어,부산(기장),28미,S/P,2,"300,000","300,000","300,000",2012-04-03,,,
(활)봉바지락,중국,대,box,75,"8,500","8,500","8,500",2012-04-03,,,
(선)붕장어,제주도,중,S/P,3,"112,000","112,000","112,000",2012-04-03,,,
(활)새꼬막,순천,중,그물망,79,"82,000","8,000","53,700",2012-04-03,,,
(선)우럭,통영,중,S/P,348,"20,000","5,000","12,500",2012-04-03,,,
(활)전복,고흥,10/11미,kg,12.2,"41,000","41,000","41,000",2012-04-03,,,
(냉)쭈꾸미,베트남,80/100,CT/(BT),50,"20,500","20,500","20,500",2012-04-03,,,
(선)청어,임원,중,S/P,11,"15,000","7,000","10,600",2012-04-03,,,
(활)칼바지락,중국,대,box,733,"6,800","5,500","6,300",2012-04-03,,,
(냉건)코다리명태,러시아,4X10,CT/(BT),6,"35,000","35,000","35,000",2012-04-03,,,
(선)홍어,중국,9미,S/P,13,"100,000","100,000","100,000",2012-04-03,,,
(냉)흰다리새우,말레이지아,60미,kg,120,"7,000","7,000","7,000",2012-04-03,,,
(선)가자미,방어진,6미,S/P,2,"10,000","10,000","10,000",2012-04-03,,,
(선)가자미,방어진,진통,S/P,3,"100,000","100,000","100,000",2012-04-03,,,
(선)깐홍합,여수,대,box,3,"40,000","40,000","40,000",2012-04-03,,,
(냉)꽁치,대만,68미,CT/(BT),"1,100","22,100","15,000","15,600",2012-04-03,,,
(선)대구,속초,3미,S/P,8.9,"15,000","10,000","12,600",2012-04-03,,,
(선)대구,중국,8미,S/P,60,"46,500","30,000","34,300",2012-04-03,,,
(선)대구,미국,중,S/P,6,"70,000","70,000","70,000",2012-04-03,,,
(선)대구,속초,7미,S/P,1,"50,000","50,000","50,000",2012-04-03,,,
(선)도다리,보령,중,S/P,5,"20,000","20,000","20,000",2012-04-03,,,
(선)명태,일본,10미,S/P,10,"60,000","60,000","60,000",2012-04-03,,,
(선)명태,일본,14미,S/P,5,"60,000","60,000","60,000",2012-04-03,,,
(선)병어,부산(기장),5단,S/P,1,"150,000","150,000","150,000",2012-04-03,,,
(활)소라,순천,중,box,13,"142,000","122,000","137,400",2012-04-03,,,
(냉)암꽃게,태안,중,S/P,127,"26,500","25,000","25,500",2012-04-03,,,
