(활)가무락,장항,대,그물망,1,"196,000","196,000","196,000",2023-05-17
(활)가자미,대천,중,kg,4.1,"25,000","25,000","25,000",2023-05-17
(선)갑오징어,보령,12미,c/s(상자),10,"65,000","63,000","63,200",2023-05-17
(선)낙지,중국,9미,box,100,"18,300","17,100","17,400",2023-05-17
(활)넙치,태안,중,kg,39.5,"10,000","3,000","6,600",2023-05-17
(선)넙치,태안,중,kg,19.6,"6,000","4,000","5,000",2023-05-17
(선)만디,여수,소,box,65,"13,800","1,500","11,400",2023-05-17
(선)백조기,나로도,22미,S/P,1,"10,000","10,000","10,000",2023-05-17
(선)병어돔,중국,중,kg,19.4,"6,000","6,000","6,000",2023-05-17
(활)부시리,강구,중,kg,695.5,"17,000","5,000","10,400",2023-05-17
(활)새꼬막,순천,중,그물망,79,"43,100","8,100","16,500",2023-05-17
(선)수조기,여수,중,kg,17.2,"6,000","5,000","5,400",2023-05-17
(선)아귀,방어진,대,S/P,14,"75,000","10,000","28,600",2023-05-17
(활)암꽃게,군산,중,kg,116,"36,200","35,000","36,100",2023-05-17
(활)전갱이,일본,중,kg,114,"32,000","22,000","29,500",2023-05-17
(활)전복,완도,8/9미,kg,34.1,"29,000","26,000","27,100",2023-05-17
(활)참돔,목포,중,kg,140.8,"19,000","4,000","13,200",2023-05-17
(활)칼바지락,중국,대,box,20,"12,000","6,600","8,700",2023-05-17
(선)통치,제주도,대,S/P,36,"145,000","80,000","95,700",2023-05-17
(냉)한치,인도네시아,2G,CT/(BT),20,"149,800","110,300","126,100",2023-05-17
(활)겉삐뚜리,군산,중,그물망,10,"22,300","22,300","22,300",2023-05-17
(선)금태,부산(기장),35미,S/P,1,"450,000","450,000","450,000",2023-05-17
(활)넙치,인천,중,kg,358.1,"14,000","1,500","6,500",2023-05-17
(활)농어,통영,중,kg,6.5,"15,000","15,000","15,000",2023-05-17
(선)대구,속초,3미,S/P,43,"17,000","10,000","12,400",2023-05-17
(선)도다리,남해,대,S/P,1,"4,000","4,000","4,000",2023-05-17
(활)돌게,보령,중,kg,10,"11,000","11,000","11,000",2023-05-17
(활)딱돔,완도,소,kg,22,"1,000","1,000","1,000",2023-05-17
