(활)점성어,중국,중,kg,549.8,"10,000","7,000","8,600",2024-04-03
(선)쭈꾸미,중국,11미,box,50,"22,100","22,000","22,000",2024-04-03
(선)쭈꾸미,중국,44미,box,24,"17,500","17,500","17,500",2024-04-03
(활)피꼬막(피조개),군산,중,그물망,23,"45,000","22,000","30,300",2024-04-03
(활)가무락,인천,대,그물망,6,"212,000","122,500","194,300",2024-04-03
(선)간재미,대천,중,kg,114,"1,300","1,000","1,100",2024-04-03
(선)간재미,안흥,1미,미(마리),"1,115","2,800",700,900,2024-04-03
(활)감성돔,목포,중,kg,266.8,"28,000","3,000","15,600",2024-04-03
(활)감숭어,거제도,중,kg,322.2,"12,000","1,000","8,500",2024-04-03
(선)낙지,중국,15미,box,145,"20,300","17,800","19,000",2024-04-03
(선)다랑어,죽변,2미,S/P,1,"100,000","100,000","100,000",2024-04-03
(활)물바지락,순천,대,box,6,"71,000","71,000","71,000",2024-04-03
(선)민대구,제주도,12미,S/P,1,"50,000","50,000","50,000",2024-04-03
(선)삼치,제주도,11미,S/P,1,"65,000","65,000","65,000",2024-04-03
(활)소라,군산,중,box,5,"90,000","90,000","90,000",2024-04-03
(선)열기,완도,중,S/P,9,"10,000","10,000","10,000",2024-04-03
(냉)오징어,중국,400/600,PAN(펜),90,"161,300","161,300","161,300",2024-04-03
(선)왕게,러시아,중,kg,255.3,"36,000","5,500","24,800",2024-04-03
(선)잡어,목포,중,kg,10.2,"12,000","3,000","6,700",2024-04-03
(활)전복,완도,30미,kg,121.7,"13,500","13,000","13,100",2024-04-03
(활)전복,완도,12/13미,kg,146.1,"20,000","18,000","19,400",2024-04-03
(냉)조기,중국,60미,CT/(BT),50,"31,000","30,900","30,900",2024-04-03
(선)쭈꾸미,중국,23미,box,278,"25,000","22,600","23,000",2024-04-03
(선)쭈꾸미,중국,15미,box,50,"22,500","22,500","22,500",2024-04-03
(활)가리비,통영,중,box,18,"17,500","10,300","13,100",2024-04-03
(선)가오리,포항,2미,S/P,201.5,"6,000","6,000","6,000",2024-04-03
(선)갯가재,격포,대,kg,159.5,"7,000","7,000","7,000",2024-04-03
(선)금태,부산(기장),42미,S/P,1,"220,000","220,000","220,000",2024-04-03
(선)낙지,중국,8미,box,90,"25,000","16,200","18,200",2024-04-03
(선)대구,속초,2미,S/P,1,"13,000","13,000","13,000",2024-04-03
(활)멍게,통영,중,box,70,"30,000","21,200","22,400",2024-04-03
(선)민대구,제주도,14미,S/P,3,"52,000","50,000","50,700",2024-04-03
(선)백조기,제주도,33미,S/P,1,"55,000","55,000","55,000",2024-04-03
(활)벵에돔,일본,중,kg,32.6,"13,000","2,000","9,000",2024-04-03
(활)송어,일본,중,kg,100.1,"8,800","8,000","8,200",2024-04-03
(활)암꽃게,완도,대,kg,14,"33,500","20,000","29,600",2024-04-03
(선)우럭,남해,소,S/P,1,"10,000","10,000","10,000",2024-04-03
(활)우럭조개,여수,8미,box,16,"8,200","8,200","8,200",2024-04-03
(활)전복,완도,6/7미,kg,58.5,"30,500","28,000","29,100",2024-04-03
(활)진주담치,여수,중,그물망,94,"91,300","5,000","10,000",2024-04-03
(활)진주담치,마산,중,그물망,104,"9,500","3,000","6,000",2024-04-03
(선)참복,제주도,대,S/P,15.5,"11,000","11,000","11,000",2024-04-03
(선)참조기,제주도,45미,S/P,1,"450,000","450,000","450,000",2024-04-03
(선)홍어,방어진,대,S/P,29.7,"5,000","5,000","5,000",2024-04-03
(선)가자미,여수,대,S/P,25,"70,000","35,000","64,800",2024-04-03
(활)감성돔,완도,중,kg,18.6,"20,000","12,000","15,100",2024-04-03
(활)개조개,통영,20미,box,2,"85,500","85,500","85,500",2024-04-03
(활)개조개,여수,20미,box,5,"105,000","105,000","105,000",2024-04-03
(냉)고등어,노르웨이,400/600,CT/(BT),49,"68,300","68,300","68,300",2024-04-03
(선)낙지,중국,23미,box,4,"17,000","17,000","17,000",2024-04-03
(선)낙지,중국,11미,box,175,"23,600","17,500","18,600",2024-04-03
