,batch,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
                 lr/pg2,64,7e-05,0.00014258,0.00020723,0.00026397,0.00031278,0.00035367,0.00038665,0.00041171,0.00042884,0.00043805,0.00043935,0.00043272,0.000406,0.0003565,0.000307,0.0002575,0.000208,0.0001585,0.000109,5.95e-05
         train/box_loss,128,1.0479,0.88636,0.7951,0.74169,0.70822,0.71713,0.76826,0.72007,0.73871,0.70124,0.85213,0.74655,0.75345,0.69298,0.69635,0.69315,0.65163,0.63162,0.62516,0.61089
         train/seg_loss,128,3.1967,2.4481,1.9677,1.7185,1.4847,1.3724,1.4166,1.2697,1.2875,1.1624,1.5149,1.3202,1.3459,1.2122,1.1684,1.1368,1.0406,1.0214,0.98008,0.95381
         train/cls_loss,128,3.6059,3.4555,3.2552,2.9687,2.6961,2.4599,2.2847,2.1078,1.9687,1.8555,2.2514,1.9444,1.8804,1.7356,1.6735,1.604,1.5724,1.4971,1.4756,1.4326
         train/dfl_loss,128,1.3727,1.2739,1.1933,1.1608,1.1471,1.1358,1.1574,1.1428,1.1329,1.1234,1.322,1.2235,1.2094,1.1684,1.1712,1.1591,1.126,1.1269,1.1063,1.0971
   metrics/precision(B),128,0.00534,0.00566,0.00576,0.00591,0.00605,0.00634,0.00646,0.00641,0.74081,0.84682,0.7949,0.91243,0.84039,0.88128,0.87954,0.7289,0.84397,0.83919,0.78845,0.79404
      metrics/recall(B),128,0.86481,0.91439,0.9161,0.91738,0.91296,0.92692,0.92194,0.91161,0.04576,0.0682,0.26909,0.06672,0.1585,0.10677,0.35557,0.34709,0.41097,0.52252,0.52809,0.5782
       metrics/mAP50(B),128,0.09317,0.12521,0.15827,0.21395,0.24824,0.24543,0.31567,0.34829,0.34951,0.46205,0.47937,0.55418,0.57244,0.57173,0.61314,0.62801,0.66447,0.6746,0.68191,0.70601
    metrics/mAP50-95(B),128,0.04933,0.07615,0.09653,0.14169,0.17426,0.16124,0.20373,0.23169,0.23707,0.3123,0.2468,0.37,0.33056,0.34075,0.40144,0.40563,0.46945,0.49265,0.48759,0.50493
   metrics/precision(M),128,0.00472,0.00513,0.00527,0.00559,0.00569,0.00578,0.00598,0.006,0.74092,0.84682,0.7949,0.91893,0.82379,0.88128,0.86045,0.72089,0.84915,0.83243,0.77844,0.77567
      metrics/recall(M),128,0.79729,0.85805,0.86909,0.88746,0.8859,0.87685,0.87258,0.87792,0.03552,0.0682,0.26909,0.06398,0.15339,0.10677,0.34455,0.34068,0.41181,0.52692,0.52845,0.56646
       metrics/mAP50(M),128,0.07181,0.11291,0.13238,0.18869,0.22582,0.2214,0.29667,0.32487,0.33059,0.44069,0.46458,0.53154,0.55055,0.5278,0.56503,0.60536,0.64715,0.66537,0.66005,0.67902
    metrics/mAP50-95(M),128,0.0483,0.0739,0.08873,0.13218,0.16448,0.15125,0.20963,0.23489,0.25011,0.32819,0.35698,0.4133,0.40719,0.36215,0.4031,0.45012,0.48327,0.50086,0.50221,0.51986
           val/box_loss,128,1.0529,0.89013,0.96407,0.97755,0.96885,1.0078,1.0433,1.0949,1.1229,1.138,1.5095,1.1512,1.2648,1.2569,1.2387,1.2395,1.159,1.1659,1.1403,1.1052
           val/seg_loss,128,2.7134,2.3256,2.6571,2.5972,2.573,2.5395,2.4213,2.4523,2.4542,2.3032,2.5693,2.2735,2.4816,2.4912,2.746,2.4335,2.413,2.4021,2.2499,2.0943
           val/cls_loss,128,3.7566,3.6557,3.648,3.5926,3.4801,3.5,3.4374,3.4314,3.3618,3.2732,3.3757,3.2546,3.2526,3.2795,3.0692,3.0071,2.9222,2.8013,2.7228,2.6
           val/dfl_loss,128,1.4864,1.3462,1.4031,1.3852,1.3844,1.4227,1.4323,1.4365,1.4753,1.4833,1.9557,1.5379,1.6831,1.7055,1.621,1.6433,1.5475,1.5529,1.5312,1.488
                 lr/pg0,128,3e-05,6.6535e-05,9.911e-05,0.00012773,0.00015238,0.00017307,0.00018981,0.00020258,0.0002114,0.00021625,0.00021715,0.00021408,0.00020706,0.00019607,0.00018113,0.00016223,0.00013936,0.00011254,8.175e-05,4.7005e-05
                 lr/pg1,128,3e-05,6.6535e-05,9.911e-05,0.00012773,0.00015238,0.00017307,0.00018981,0.00020258,0.0002114,0.00021625,0.00021715,0.00021408,0.00020706,0.00019607,0.00018113,0.00016223,0.00013936,0.00011254,8.175e-05,4.7005e-05
                 lr/pg2,128,3e-05,6.6535e-05,9.911e-05,0.00012773,0.00015238,0.00017307,0.00018981,0.00020258,0.0002114,0.00021625,0.00021715,0.00021408,0.00020706,0.00019607,0.00018113,0.00016223,0.00013936,0.00011254,8.175e-05,4.7005e-05
